,Endereço,Latitude,Longitude
0,"R BOTAFOGO, 1468/2",-30.0550127,-51.2149169
1,"AV DR NILO PECANHA, 2281",-30.028310600000005,-51.1696185
2,"AV BALTAZAR DE OLIVEIRA GARCIA, 2215/2",-30.013837,-51.123186
3,"R SAO LUIZ, 300",-30.045787100000005,-51.20546450000001
4,"R TEN ARY TARRAGO, 1098",-30.0325714,-51.1350817
5,"AV PLINIO BRASIL MILANO, 767",-30.0219625,-51.183479
6,"AV PLINIO BRASIL MILANO, 1053",-30.0208859,-51.18085019999999
7,"R SILVIO SILVEIRA SOARES, 2541/201",-30.103388300000002,-51.233752
8,"AV PERNAMBUCO, 253",-29.995181199999998,-51.1955716
9,"AV SAO PEDRO, 617",-30.010207899999997,-51.2031961
10,"AV SERTORIO, 614",-29.9995183,-51.1993535
11,"AV TEIXEIRA MENDES, 22/303",-30.040073100000004,-51.1662391
12,"R ATILIO SUPERTTI, 1021",-30.1257,-51.2115225
13,"R PADRE CHAGAS, 330",-30.0241731,-51.20276699999999
14,"AV DIARIO DE NOTICIAS, 300/1119",-30.0831553,-51.2467464
15,"R HOFFMANN, 583",-30.020756899999995,-51.2084369
16,"R VISCONDE DO HERVAL, 1092/401",-30.0535877,-51.2175798
17,"R OLAVO BILAC, 614",-30.0409596,-51.2137989
18,"AV OSVALDO ARANHA, 1439/401",-30.037009,-51.20849399999999
19,"R CONSTANTINO FERNANDO ONORATO BOTTIN,",-30.1616845,-51.1814742
20,"AV PLINIO BRASIL MILANO, 223/1",-30.0229011,-51.1888185
21,"R GEN ANDRADE NEVES, 155/85",-30.0308442,-51.22835360000001
22,"AV CARLOS GOMES, 20",-30.0221286,-51.184180100000006
23,"R ADAO BAINO, 89/205",-30.011257,-51.15617100000001
24,"R ADAO BAINO, 146/703",-30.011675300000004,-51.15580300000001
25,"R MARQUES DE ALEGRETE, 152",-30.00435449999999,-51.1875708
26,"AV BENJAMIN CONSTANT, 1851",-30.017226300000004,-51.1975485
27,"R DR ALBERTO ALBERTINI, 275",-30.001494399999995,-51.1450322
28,"AV GETULIO VARGAS, 1594/203",-30.0590157,-51.2229324
29,"AV FARIA LOBATO, 232/1",-29.9845887,-51.132981
30,"R DR MARIO TOTTA, 838/201",-30.1137683,-51.2522459
31,"AV SAO PEDRO, 846/3",-30.0107521,-51.2008319
32,"AV CEARA, 463",-29.9998245,-51.1915081
33,"AV PROTASIO ALVES, 3240/7",-30.0406434,-51.1776633
34,"AV ALBERTO PASQUALINI, 808/204",-30.03040630000001,-51.1388555
35,"R ANDARAI, 157/308",-30.0133703,-51.1678229
36,"R ERECHIM, 626",-30.0878745,-51.2180978
37,"R ARABUTAN, 363",-30.0346471,-51.2176584
38,"AV CEARA, 1165",-30.0058417,-51.1933674
39,"AV IPIRANGA, 4001",-30.0523778,-51.1941922
40,"AV CARLOS GOMES, 1610",-30.0348591,-51.1771258
41,"AV TULIO DE ROSE, 80/355",-30.0216867,-51.1624443
42,"AV AZENHA, 499",-30.0482269,-51.21370659999999
43,"R FREI GERMANO, 275/202",-30.05859929999999,-51.1673513
44,"AV CRISTOVAO COLOMBO, 2162/203",-30.0179286,-51.1992656
45,"R PRIMEIRO DE MARCO, 849/1",-30.0652966,-51.1616714
46,"AV NOVA YORK, 48",-30.0217995,-51.195024
47,"AV NOVA YORK, 52",-30.0217463,-51.1949863
48,"AV JOAO WALLIG, 1800/1106",-30.0257617,-51.16290189999999
49,"AV NOVA YORK, 72",-30.0215353,-51.1951123
50,"R DONA ALZIRA, 73",-30.009449,-51.13836480000001
51,"R DONA ALZIRA, 195",-30.00838520000001,-51.13814
52,"R FELICISSIMO DE AZEVEDO, 146",-30.0102808,-51.19154520000001
53,"R DR FLORENCIO YGARTUA, 65/2",-30.0273788,-51.2033891
54,"R DR TIMOTEO, 746",-30.0220872,-51.19974910000001
55,"AV JOAO WALLIG, 1800/270",-30.0257617,-51.16290189999999
56,"R MARCILIO DIAS, 376/1",-30.04922920000001,-51.2260544
57,"R DUQUE DE CAXIAS, 1559/4",-30.033177,-51.22584260000001
58,"R FELIPE NERI, 148/501",-30.0231191,-51.19417979999999
59,"R PERO VAZ DE CAMINHA, 44",-30.0266779,-51.1503038
60,"R DR FLORES, 263",-30.0295835,-51.22478020000001
61,"AV DIARIO DE NOTICIAS, 300/1078",-30.0831553,-51.2467464
62,"R EVARISTO DA VEIGA, 151",-30.0551552,-51.19693909999999
63,"AV PROTASIO ALVES, 2886",-30.04239099999999,-51.1803738
64,"R VOLUNTARIOS DA PATRIA, 45/11",-30.0275592,-51.2261534
65,"AV WENCESLAU ESCOBAR, 1102/1",-30.0999654,-51.2481696
66,"AV PRAIA DE BELAS, 1181/27",-30.049779,-51.22847059999999
67,"R DR FLORES, 96",-30.0279033,-51.2245226
68,"PCA OSVALDO CRUZ, 15/2508",-30.0264511,-51.22253189999999
69,"AV CRISTOVAO COLOMBO, 1501",-30.01883410000001,-51.2056391
70,"R GASPAR MARTINS, 443",-30.0220509,-51.2106477
71,"R FRANCISCO GALECKI, 150/7",-30.0050691,-51.09682489999999
72,"R CAIRU, 1167",-30.00613379999999,-51.1956239
73,"R MARECHAL FLORIANO PEIXOTO, 13/94",-30.02896560000001,-51.22690220000001
74,"AV RIO GRANDE, 432",-30.0060252,-51.2059295
75,"AV EDUARDO PRADO, 1280/2",-30.1286451,-51.2187378
76,"AV CAVALHADA, 2507",-30.0990557,-51.23179150000001
77,"R ANDRADAS, 1529",-30.0297955,-51.22629110000001
78,"AV MANOEL ELIAS, 1212",-30.026077500000003,-51.1200047
79,"R ERNESTO FONTOURA, 355",-30.0069884,-51.2048166
80,"R GEN CALDWELL, 1220",-30.0514615,-51.2151554
81,"AV EDUARDO PRADO, 330/10",-30.123104,-51.220949
82,"R VICENTE DA FONTOURA, 1211",-30.0491266,-51.2023349
83,"R CAPITAO AMARANTE XAVIER, 50",-30.125887100000003,-51.20722420000001
84,"R SERAFIM ALENCASTRO, 760",-29.9969206,-51.13318470000001
85,"R GOMES DE FREITAS, 504/2",-30.0143399,-51.1433958
86,"R PASSO DA PATRIA, 195",-30.037861100000004,-51.1937387
87,"AV SOLEDADE, 569/4",-30.0326464,-51.177902
88,"R BUTUI, 144/204",-30.0863349,-51.2391519
89,"R RIACHUELO, 1342",-30.031563,-51.22788449999999
90,"R CARLOS TREIN FILHO, 1100",-30.031807,-51.186532
91,"AV FARRAPOS, 1300",-30.0195572,-51.2103686
92,"AV RODRIGUES DA FONSECA, 1485",-30.11567399999999,-51.21177059999999
93,"AV IPIRANGA, 3756",-30.050732300000004,-51.194281
94,"AV OTTO NIEMEYER, 2337/102",-30.103953000000004,-51.2357579
95,"R URUGUAI, 310",-30.029443100000005,-51.2285488
96,"AV BENNO MENTZ, 938",-30.019286800000003,-51.1473573
97,"R ALBERTO SILVA, 63/1",-30.0112104,-51.15007720000001
98,"AV EDUARDO PRADO, 1621/2",-30.1330308,-51.2184758
99,"AV ASSIS BRASIL, 4613/1",-29.9791393,-51.1143221
100,"AV ASSIS BRASIL, 3522/133",-30.0097772,-51.1518784
101,"AV WENCESLAU ESCOBAR, 2770/18",-30.1123691,-51.25509570000001
102,"R SOUZA REIS, 274",-30.0045637,-51.1905195
103,"AV BERNARDINO SILVEIRA DE AMORIM, 914",-29.9816777,-51.1136813
104,"AV OTAVIO ROCHA, 22/308",-30.0284939,-51.226494
105,"AV ALBERTO BINS, 998/1",-30.0276703,-51.2165254
106,"R PIAUI, 154",-30.0067309,-51.1753394
107,"AV MARTINS BASTOS, 441",-29.9879525,-51.13039080000001
108,"AV ALBERTO BINS, 761/1",-30.0279956,-51.2188032
109,"R OLINDA, 44",-30.0143176,-51.2019641
110,"AV BALTAZAR DE OLIVEIRA GARCIA, 2580",-30.0146775,-51.11956729999999
111,"R GEN ANDRADE NEVES, 65",-30.0306336,-51.22933829999999
112,"R VOLUNTARIOS DA PATRIA, 57/501",-30.0275718,-51.226022
113,"R VOLUNTARIOS DA PATRIA, 2873",-30.0093227,-51.2096455
114,"AV PROTASIO ALVES, 2728",-30.04304249999999,-51.1818038
115,"AV GETULIO VARGAS, 802",-30.0513865,-51.22199310000001
116,"R GEN VITORINO, 151/15",-30.030586600000003,-51.2253182
117,"R VOLUNTARIOS DA PATRIA, 294/146",-30.026740000000004,-51.2236556
118,"AV JOAO PESSOA, 809/303",-30.0388012,-51.21848129999999
119,"AV JOAO WALLIG, 1800/191",-30.0257617,-51.16290189999999
120,"AV ASSIS BRASIL, 3879/1",-30.0107531,-51.14788069999999
121,"AV CAVALHADA, 2626",-30.0992136,-51.231234
122,"R MOURA AZEVEDO, 606/706",-30.0115863,-51.2035529
123,"R ALBERTO SILVA, 1350",-30.0233639,-51.1500198
124,"R VIGARIO JOSE IGNACIO, 124/1",-30.0266682,-51.2256244
125,"AV ASSIS BRASIL, 3100",-30.010080100000003,-51.1561914
126,"AV FERNANDO FERRARI, 330",-29.9746291,-51.1741435
127,"R DOMINGOS CRESCENCIO, 983",-30.045637100000004,-51.2004852
128,"R GARIBALDI, 1032",-30.0297788,-51.21506289999999
129,"AV NOVA YORK, 10/605",-30.02209629999999,-51.1951042
130,"R ANDRADAS, 1427/63",-30.0298208,-51.2267991
